3.0 out of 5 stars,"This is a compact Bluetooth speaker at a good price. It paired quickly and effortlessly with my iPhone. I use it for listening to audio books and the sound is fine. Between the iPhone volume and the speaker volume the output is loud enough for my needs. I can’t comment on music quality or whether the speaker is loud enough to fill a room or be heard above a lot of ambient noise or conversation. HOWEVER:  the product listing caption says it has a range of 100ft. I sort of knew that was too good to be true but hey, they couldn’t say it if it wasn’t true, right? Apparently they can. Not only does it not have a 100ft range, it drops the signal as soon as I leave the room where my phone is. I have $10 wireless speakers from discount stores that work on the other side of my house. If you want an  inexpensive nice sounding Bluetooth speaker and don’t need to stray far from the audio source, buy this one. If you need wireless range, pick something else.
            "
2.0 out of 5 stars,"Old review updated:  I really hate slamming a product I initially loved, but I have tried everything, and my speaker I loved so much just quit working after two months.  I have tried to post an update once before, but I must not have completed it, because no one has contacted me, and I cannot believe I am expected to keep a product I bought on Amazon as a prime member when it did not even last 6 months.  The trouble is that, even fully charged, when I turn the speaker on, it comes on for a minute, then dies.  I have done all I can do, and so now I am back to using my trusty IHome bluetooth speaker (which I bought at Radio Shack two years ago and still works like a champ.  It does not sound as good as the Oontz Speaker, but I do not have to replace it 6 times per year.  Amazon or Cambridge SoundWorks should reach out to me now.  I will keep you all posted.I have purchased several of these little Blue-tooth speakers to carry with me on picnics, place around the house for music while I am cleaning, and to carry outside for cook outs or poker night.  I bought the best one from Radio Shack for $39, and that tennis ball sized I-Home speaker was the best until Oontz.  I got the sweet red Oontz speaker a couple of weeks ago, and this evening-bag sized speaker beats all five of its predecessors in sound AND price.  My husband and I listened to some of the glorious love songs of Whitney Houston Sat night over Rhapsody connected via Bluetooth to the Oontz.  We never got up to full volume, but it sounded like that angel was singing in our den, with a choir surrounding us.  Sunday we used it to watch a movie on my tablet.  When the bad guys were surrounded I could hear the bullets whizzing past my ears. That is a STEREO.  I plan to order a couple more in a few weeks.  Once again, Amazon Prime came through with a fine product at an excellent price and two day shipping was free, as always.  Thank you, Cambridge SoundWorks for giving us Boze Quality at a price we all can pay!
            "
5.0 out of 5 stars,"Simply the best. I’ve owned DOSS, JBL, Anker, Cambridge, Jambox you name it.  I always find myself reaching for my Oontz (I’ve owned 4 models currently have 3 gave first one away. 8 years old still sounds impeccable with very minor glitches with BT connectivity.)  they ate just the most compact and lightweight and sounds freaking incredible. Crisp yet has a deep rich bass. Buy it! Trust me. Best bang for your buck, no doubt. If it doesn’t workout, you can always return it for free with Prime**photo is of my 2 new ones. Oontz Angle Solo is the Smaller one and is for traveling and boyyyy is it  L O U D  for a singular speaker and bass is surprisingly richer than the Angle 3, the one next to it which is the medium sized one with double speakers?..oh well I’l take it!)
            "
1.0 out of 5 stars,"I think this would be a great device, but ours came with dust/water marks all over it and missing a charging cable. Worked fine, but there's no option to report items without returning it -- we don't want to return it, we just were expecting a new box with a charging cable.
            "
5.0 out of 5 stars,"Why some might think it has crappy sound, and how to fix it (Not an issue with the speaker!)...The speaker has two modes... phone calls or music. If the device you are connecting to uses its ""Mic"", it will use the ""Hands Free"" Bluetooth mode. The quality of the ""Hands Free"" Bluetooth mode is sub-par. Good for phone calls, sucky for music. If the device you connect it to recognizes it as an audio device, the audio quality is WAY better, I mean night and day, but has no Mic functionality. I use it as an audio device, and I do not use its Mic functionality. If you use it with a computer, you may have to disable the hands free functionality in the Control panel > Sound (See images) to get good audio from it and to use it as a speaker. So basically it depends how the device you connect it to handles it. My Pixel 2 sees it as an audio device, and I get great quality when listening to music, then it switches over to ""Hands Free"" mode and it sounds like any other hands free Bluetooth speaker...I don't ever leave reviews hardly, but this guy is worth it. For a speaker of it's size it is GREAT. Honestly I have been extremely impressed with its performance, it really sounds rich. It has a full range sound. It is not going to have tons of bass (No small speaker does because of physical characteristics) but if you are looking for a well blended sound this guys is perfect! For its size it has a fair amount of base (As much as a small speaker can). Its mids, highs, and lows, all complement and one does not dominate the other. In addition I am 1/2 deaf, and this thing can crank. Don't get me wrong it is still a small speaker, so you aren't going to get surround sound quality, but it goes loud enough that it might even be considered uncomfortably loud (To a 1/2 deaf person).I use it as a computer speaker at night, because I can place it next to my bed so I can watch movies as I fall asleep and not bother people in the other rooms, and don't have to worry about wearing headphones.It has fairly big volume adjustments on its side, so it is easy to adjust the volume or turn the volume down in the middle of the night. I use a 4.2 pluggable USB adapter on the computer, and I am able to go into other rooms close to the computer. But it will cut out any further than that. It does sometimes struggle in rooms next to the computer, but usually you can find a spot where it works just fine.I can actually carry it into the bathroom (Very close by, only one room over) and listen to audio on my computer while I take a shower... BUT it is not going to give you any significant left/right channel, it comes out more of a mono speaker.It will cut out if you get too far away from the computer, so it def won't go through the whole house, but into a room over it should do decent. (With that USB Bluetooth 4.2 Pluggable adapter).
            "
1.0 out of 5 stars,"I've had this speaker for months and I loved it (previously 5*) . Recently it stopped charging and holding a charge so it has become useless. I would love to order a replacement but I'm not sure if I have confidence in this item.  Seen other reviews also saying that unit stops charging.  Do not buy this item!This is a great speaker, hands down.  Lightweight, unbelievable sound for its size and price.  I would recommend for anyone on the go who like to listen to music that's not the tinny sound that a smartphone makes.
            "
1.0 out of 5 stars,"This is the second Oontz I bought (the first one being the Oontz plus, the older and bigger version). This speaker worked well initially, although I found the sound is not as crisp as the bigger version. About one month later, the plastic strip that covers the power button and USB port fell off. It made it looks kind of ugly. Aside from that, it made powering on/off the speaker very annoying because it relies you to press the plastic strip to power on/off it. Without the plastic strip, you have to use a small pin to push the little button inside a hole to turn on/off it.Worse thing, now the speaker's battery is completely dead. No matter how long you charge it through USB port, it does not have any power. Essentially, it is a dead speaker. I kind of noticed that the speaker's play time lasted shorter and shorter. But I did not really pay attention as I though I did not charge long enough. Now it is completely dead and useless.It is a very bad experience with this speaker and I would not recommend buying it.
            "
1.0 out of 5 stars,"I needed a small blue tooth speaker because the Echo Dot sound quality just wasn't cutting it and i would like to add music to whatever room I am working in that may not have a device. I have an Echo Dot 2nd and 3rd gen. The 2nd gen is tinny and the 3rd way too bass centric and boomy, but still better than this speaker. The sound quality doesn't blow me away, in fact, it is pretty bad. Not enough bass and not much of an improvement over my Echo Dot Mini 2nd Gen. Wow, this is so disappointing. The speaker paired easily with my phone and laptop, but had an issue pairing with the Alexa app via blue tooth. The controls are a pain to see in low light. As long as you keep your expectations super low you will be happy.----Update-----Lost another star after buying the Doss Touch speaker for $4 more. The Doss has MUCH better sound quality and paired to Echo Dot instantly. The Oontz seems to be having difficulties with Alexa. Probably going to return this and buy the upgraded version of the Doss 20W because I am much more impressed with that speaker as a whole. The sound quality on the Doss is more balanced and it has True Wireless Stereo so both can be used simultaneously. At first it was about being an upgrade to the Echo Dot sound quality, but now it's about better sound with every device. I was never happy with the sound on the Oontz to begin with and now it's completely unacceptable after trying a much better speaker within the same price range.
            "
1.0 out of 5 stars,"Stopped connecting via bluetooth after 6 months. Tried all troubleshooting options including the reset button inside the 3.5mm port. All of my other bluetooth devices connect like they should.  I had 2 Cambridge Soundworks 765 tabletop radios that both stopped working properly also.... Im not giving another cent to this company.Ive included video of the Oontz angle failing to connect (it connected just fine for 6 months then became sporadic and now wont connect at all).My Audio‑Technica M50X, Audio‑Technica ATH‑S700BT, and an Aiwa Exos-9 connecting to the same device with no problems ever.
            "
1.0 out of 5 stars,"Bought this because of the good reviews, but regret my decision.  This was to replace a $7 Sylvania (SP262) bought at Wal-Mart and I'd much rather have the Sylvania.  The Cambridge has no bass.  Sure its smaller and more compact than the previous but sound quality is lacking.I can't comment on battery life or longevity as I really don't like using this speaker.  I would not recommend this speaker.
            "
2.0 out of 5 stars,"The battery in my ancient Bose Soundlink Mini II will no longer hold a charge so it was time to buy a really expensive new battery or just replace the speaker.  I bought the Oontz Angle 3 because of the ""rich bass"" and ""crystal clear stereo sound"" hype, the overwhelming number of excellent reviews, the small footprint and the crazy low price.The Angle 3 arrived fully charged so I plugged it into a music source (my desktop computer) and fired up some tunes.  ""Rich bass?""  Puhleez.  The sound was harsh, tinny and decidedly bass-free.  And if there was any ""crystal clear stereo"" separation going on it completely escaped me.  I actually grabbed the instructions to find out if I needed to enable something, download the latest drivers, anything...this couldn't be the same product.In retrospect I guess I wanted something for next to nothing and I got what I paid for.  This Oontz will get loud and presumably run off battery for a long time, as well as hold a BlueTooth connection over a long distance.  And the price is hard to beat.  If that's what you're shopping for this may work for you.  I don't care about any of that; I want a very compact speaker system replacement for my desktop PC that packs a punch.  This is not that item.
            "
5.0 out of 5 stars,"I took this on vacation with a big group of friends and it got a ton of use.  It went to the beach with us, it was out on the deck, etc. constantly.  I used it myself, let my friends connect to it and so on.Connection - easy.  Paired it to probably 5 different phones over the course of the week and nobody had any trouble hooking up to it, and it seemed to keep a solid connection even when there was a good distance between the phone and the speaker.  There is no security code and it shows up as Oontz Angle on your phone so it is obvious what it is.  It gives a chime to tell you it has successfully paired, so it is very easy to manage.  It will automatically pair to the last device connected to it if it finds it in range when you turn it on.Battery life - if you remember to charge it at the end of the day, it does not die.  Even with heavy use, we never had it die on us during the day.Sound Quality - It can get shockingly loud without distortion for such a little speaker.  Loud enough to fill even a big room.  Probably the best way to describe the sound quality is that it is appropriate for the intended use - out at the beach, on the deck, on a picnic, etc.  This thing isn't going to replace your home stereo, or even compete with much larger speaker systems that aren't meant to be portable or go outside.  But it more than gets by.  I tend to be fairly fussy about sound quality and yet I really didn't mind listening to this little thing for hours.  Yes, you cannot really fight physics when it comes to bass, it doesn't have separate tweeters, etc. but despite all that, the sound is still somehow not objectionable.  It is not going to blow you away with how great it sounds, but given how little it costs, how small it is, and the fact that it is waterproof, it is definitely punching a few notches above its weight.
            "
5.0 out of 5 stars,"I bought this to replace a more expensive speaker which I use at work.  Having left the other one (JBL Flip 2) there it was eventually blown out by someone else, so I wanted to bring in something cheaper so I wouldn't care when it ends up getting ruined by inconsiderate people.The speaker is very light compared to the Flip 2.  The triangle design is much better in terms of preventing the unit from rolling off of whatever surface it's on.  It is overall not as wide as I imagined it would be.  It feels a little cheap but produces pretty good sound at a pretty good volume.  I find it a bit amusing that they would single out ""more bass"" right in the title of the item listing because that's the biggest difference I have heard so far between this and the Flip 2; the OontZ Angle does a passable job on bass heavy audio but it's nowhere near what you would get with something of higher quality like the Flip or a Bose Mini.Some of the design choices are a bit cheap feeling as well.  The indicator that the unit is charging is a slowly blinking red light.  The indicator that the unit is fully charged is that the light no longer blinks.  Good one, save the consumer a couple of dollars by just using the one LED.  You can't see this light from the front of the unit and it's not easy to see in general under 'normal' indoor lighting conditions unless you're looking right at it from a short distance.  The power button is also a source of small frustration -- I haven't figured out yet if I really need to press it two or three times to turn the unit off by design or if I'm just not pressing it hard enough or long enough.All the above negative criticism aside this is a fine product for the price.  I would say that if you've had or heard more expensive units from more established speaker brands, don't expect the sound quality of this to truly compare to them regardless of what the other reviews say.  This may be the best sound you'll get for under $30, I don't know for sure, but don't think you're cheating the system if you buy this -- if you're really into high quality spend some more money.Based on a couple of days of use in a few different situations I would buy this again.  I'd buy another one to leave up at the family cabin.  I'd consider it an easy gift purchase for a friend.  Being that it's so inexpensive I would consider it easily replaceable and not really mind if it got damaged or broken, however sad of a statement that is.Update: I DID end up buying another one of these recently to have around the house, again because it's just so good for the price.  I'm happy to say that the physical design issues I mentioned in my first review have been improved in a slight redesign.  The tactile response of the physical buttons is greatly improved.  The positioning of the status LEDs has also been improved.  I can't be positive but it feels like the sound is a little cleaner from the new unit, especially spoken word.  I'm completely happy with this now, I have nothing to nitpick.  Because of these improvements I happily updated my review from four to five stars.  You can't go wrong with this product.
            "
1.0 out of 5 stars,"This product was laughable! After all the positive reviews that I read on Amazon I thought I would give it a try. Should’ve followed my first instincts!  You get what you pay for and this is no exception. This sounds like the speakers that come with those old-school alarm clocks. I literally laughed out when I played it and I am no way near being an audiophile.  I don’t know who wrote all those positive reviews but either people have low expectations or something very odd is going on because this is laughable.  Also, there was some weird rattling noise.  It’s going back!
            "
4.0 out of 5 stars,"Back about 2005-2010 when mini Bluetooth speakers used to be the new toy everyone wanted (and you paid the price to be an early adopter) I was really into the fad and couldn’t stop looking for the perfect one. As a result I ended up with more of them than most dealers, speakers of every possible shape and gimmick. Some of them were knock your socks off impressive, including some so small I could stuff them in my carry on when I traveled so I could have music in my hotel rooms.These days there are a handful left from the major brands. One of them I was curious about was this series from Cambridge SoundWorks, a company I’ve known and respected since I worked directly with their founder Henry Kloss back in the late 80’s and early 90’s. Unlike the early days of Bluetooth mini speakers this little speaker was only nineteen bucks, probably the lowest I’ve ever paid for any speaker. I had mixed expectations. But I chose it both for its size and its shape, I was looking for a small personal speaker to put on the base of my desktop monitor to be able to listen to content at low volume without using my high-end Boston Acoustics system.The small size is truly impressive as is the surprisingly nice look and feel of the speaker. It is heavier than similar no name speakers and you almost have to wonder how they can sell it for such a low price. It comes with a micro USB charging cable and also a mini audio cable. The power switch is easily reached near the top of the back of the speaker where the audio input and charging port are also located behind a rubber flap. The rest of the controls are on the right side of the wedge.The speaker will pair easily with newer Bluetooth devices but it seems it is not 100% compatible with all of the many standards. For example it would not pair with my desktop computer without downloading an updated Bluetooth driver.The most important thing you probably want to know is how does it sound. I’m sorry to say that with almost 20,000 review written already, many of them high energy endorsements, I’m not as impressed. I have definitely heard better from similar sized, and even smaller, speakers. It’s not bad, but it’s not knock your socks off impressive. And it’s definitely not a speaker that you would choose if there were more than one or two listeners or for use outdoors.There are a couple of things to be aware of that I liked – one is that if you use the audio cable the speaker won’t shut off automatically after a few minutes like many other brands do, but it will shut off after 15 minutes of non-playing when used in the Bluetooth mode.  Interestingly, if you pair it with an Echo device the power stays on all the time in battery mode so you would probably want to keep it plugged in to a power source if that’s your plan.I also like that you only hear the pairing sound once the first time unlike many other brands that make a loud sound whenever they are powered on or when pairing is successful. For me that is a deal breaker.
            "
2.0 out of 5 stars,"Okay, so, every once in a while I get suckered and this is one of those times. Normally, I sort these things out and avoid the minefields of dubious products that promise big, but deliver small.Yes, this is a Bluetooth speaker, and yes, it does pair up and play music from your device, but to claim that the sound quality is anywhere near ""good"" is stretching things. There are some Bluetooth​ speakers that make you wonder just how someone managed to make so much sound come out of such a small device. Unfortunately, this isn't one of those. It sounds ""okay,"" but there is nothing about it that is going to amaze you in ANY way. Yes, it plays music, but don't expect it to amaze you in any way. It plays music like any small speaker would, but nothing more...or less, to be fair.Not sure if I'll keep this or not.
            "
5.0 out of 5 stars,"I did a lot of research before choosing this speaker. I was impressed by the large number of 5 star buyer ratings. The price was excellent as well. Speaker came packaged perfectly. Included was a 3 foot Micro-USB charging cable and 3 foot 3.5mm audio cable; I wish these were longer but that is just my personal preference. Speaker came partially charged. Instructions states it can be used while charging. Speaker pairs easily and quickly, but I did experience problems getting it to disconnect from one device to pair to a different source. I contacted the company and they were quick to respond back to me. Their customer service was excellent, fast, relevant and courteous. They even offered to call me to assure that the device was working properly or not. After working with it a few days the device started working as expected and has not had an issue ever since. Maybe it was user error? Not sure. I also ordered the Cambridge SoundWorks OontZ Angle 3 PLUS. The Angle 3 PLUS offers 30 hours of playtime vs the Angle 3 which only offers 7 hours (a big difference). The Angle 3 PLUS is a tad taller at 6 1/2"". The Angle 3 is 5 1/4"", see attached photos. I didn't notice a sound quality difference but my musician son did. He ordered the 3 PLUS and says it is a better speaker than his Jawbone Bluetooth Speaker for less than half the cost. I use the smaller speaker, which sets on a high shelf in my shower, as it is water resistant & splash proof. The other sets on my office desk. If you are considering purchasing a Bluetooth speaker definitely consider the OontZ. I would go for the Angle 3 PLUS as the price difference is only about $7 unless a smaller speaker is your goal. I have referred several people to this powerful little speaker and all are very happy with their purchase.
            "
1.0 out of 5 stars,"I almost forgot about this product as I threw it away quite a while a go.It came quickly and sounded pretty good ...  for a few months. The problem (and it shares this with many electronic devices) is the USB charging port. The USB port is flimsy. Very flimsy. Soon I had to ""jiggle"" the cord to get it to change, then no amount of finagling would get it to workPeople complain when a device has no USB but instead a 5.5mm charger/ power source ...  but at least they are bulletproof.
            "
1.0 out of 5 stars,"Ordered this speaker less than a year ago (May 2017). It has since stopped working - no sound comes out of speaker when auxiliary cord is used. Bluetooth never worked. You certainly get what you pay for with this product. I was pleased with the sound quality when it was working, but I just can't recommend this product with less than a year life expectancy.
            "
5.0 out of 5 stars,"Best speaker I've ever purchased. Great sound, loud, battery lasts longer than any other speaker I've had. 4 months later, we ran it over - twice with Chevy 2500 & then the trailer. :( GUESS WHAT! It still works! INCREDIBLE! I wish I could upload a video. Just bought 2 more!
            "
1.0 out of 5 stars,"Bought this less than four months ago. The first speaker I received was defective straight out of the box. Cambridge customer service was very responsive and sent a replacement free of charge. The second speaker worked great for about three months, sounded great, appeared to be durable, very handy as hands-free phone connection in an older vehicle. Used it outside working in yard, in the shower, at my desk, without issue. Then one day it simply quit connecting via Bluetooth. I guess it works via wired connection but haven't tried. Bought it for its Bluetooth capability which is now gone. Just figured it would last longer, guess I should have listened to the negative reviews.
            "
1.0 out of 5 stars,"I never write reviews but had to since this one had so many positive reviews and I had a bad experience. I purchased on 11/27/16.  it was easy to pair with multiple devices (iPhone 6 and kindle fire), but bluetooth would not maintain connectivity from even 1 inch away on either device.  I didn't have the same issue with a braven or jambox speaker.  it kept popping and skipping over and over and finally I stopped using bluetooth and used aux cable instead.  that led to another issue.  the aux cable connection has ridiculous static.  I tried 3 diff aux cables and two diff devices and the same result: background static when playing music.  to me, this device is not reliable enough.  I probably should've returned it but it was so cheap I just dealt with it.  it is hard wired to an MP3 player to play white noise in a kids bedroom.  that's all its good for.
            "
5.0 out of 5 stars,"This speaker is amazing!  It's a little larger and heavier than its predecessor, of which I bought 2, but that isn't a problem at all. This Angle 3 is superb!  I listen to music with my Echo, but, when in the kitchen, bedroom, etc., I use the OontZ 3 so that I don't have to have my Echo full volume and disturb my roommate!  The range is unbelievable!  I can even take it to the downstairs kitchen and it works great.  The sound that comes from this little speaker is exceptional.  It is a very full, rich sound.  While my Echo has great sound, I actually like the sound from this better.  You are also able to use the volume up/down buttons to go back or forward to the next song.  It has a pause button, also.  The charge lasts a very long time.  I bought this in June.  I use it from 2 - 6 hours a day and I have only recharged it once, but, only to keep it at full charge in case the electricity went out.  How wonderful it is to have a cordless speaker that is this great.  Makes storm power outages much more pleasant!  Power was out for 10 hours, went back out for 6 hours, and, without a charge, it worked perfectly for those 16 hours.  I absolutely love the non-skid rubber on the bottom.  Between my kitties and me, things are always getting knocked around. This speaker doesn't move!  It doesn't even slide easy!  In the kitchen, the OontZ 3 got splashed quite a bit.  The water stayed on the covering and wiped off easy.  Fixing to buy a second one for my roommate!  I LOVE IT!!!
            "
1.0 out of 5 stars,"I ordered this for my parents (older) so they can play music/YouTube videos from their iPad. I showed them how to use it (very simple to operate) and it will work perfectly for them in that sense. The size and the sound quality is good to.My biggest problem with this Bluetooth speaker is that it’s pure solid black (including all the buttons). The black buttons are very difficult to see because they blend in with the color of the device. You can’t see them unless you hold this device at a particular angle and under a bright light. What genius at the manufacture thought of this design? Stupid design. A younger person must have thought of it.The manufacturer could have easily made the buttons a different color (other than black) so that they can be seen easily. I had to put drops of white paint on top of the buttons so they can easily be seen now. I shouldn’t need to have done that. The manufacture should have designed it that way! How hard would that have been. Pathetic.If you are older, do not buy this. Choose another brand and just know that most of these tech companies these days design things for younger people and don’t give a crap about older people’s needs. Good luck.
            "
5.0 out of 5 stars,"Bigger sound than expected.Better quality than expected.If you're expecting a life changing audio experience, move along.We have a small backyard and I just play a Spotify playlist of 300+ songs for guests when we're grilling and eating, battery lasts all night. A solid 4-6 hours of play.Volume at about 3/4 is just enough to be there but not intrusive.Not thumping bass, no tinny highs.Also great in while taking a shower (not in the shower, but apparently it's water resistant).I have a Creative Sound Blaster that has fantastic bass response and more than enough volume.. this is like it's little cousin in training.It's very small: imagine a the big iPhone x3 in a horizontal triangular orientation.Pairs without a problem to my new Samsung S9+ and to my old junk broken 5 year old Galaxy Core Prime running Lollipop.Just get it.Well worth the price.
            "
1.0 out of 5 stars,"There is nothing good about this product. My device was a foot away from the speaker, and the bluetooth connection created so much feedback and static, that it distorted every song. Hours of troubleshooting didn't help. I've never returned anything so quickly - Very disappointed!
            "
5.0 out of 5 stars,"Update. After writing this review Cambridge SoundWorks proactively contacted me and is sending a replacement unit. I am grateful for their outstanding customer service and gladly changed this review to 5 stars.- - - - - - - - - -Let's get this out of the way right from the start. The reason for the one star review is because eight days after the return period expired (38 days after purchase) the speaker will no longer charge. The mini-usb connector on the unit is of poor quality and deformed easily rendering the speaker useless. See picture.When it worked, it was fantastic and I bought a second one for my girlfriend. The sound is great for a unit this size and the bass is remarkable. It even jumped off a table a few times because the bass was making the whole thing bounce. In summary, I was thrilled with this purchase up to the minute it bricked itself. I'm not crazy about the 30 day return window when the merchandise is defective. 😡
            "
